user_key,prob_human,prob_bot,pseudo_label,confidence
estoucomisrael,1.5585714e-07,0.9999999,1,0.9999999
amiralikohrang,1.0,1.4897316e-11,0,1.0
afsun_jnd,1.0,4.2019552e-09,0,1.0
sadie_nc,4.470589e-07,0.9999995,1,0.9999995
fafamarefat,0.9999999,1.0353866e-07,0,0.9999999
esep65,1.0,2.6940219e-08,0,1.0
mrp42227,1.0,3.3279768e-10,0,1.0
telegraph,1.0,8.3509366e-11,0,1.0
freeiran_forus,1.0,1.2662266e-09,0,1.0
pahlavist091339,1.0,6.120646e-09,0,1.0
royabdream,1.0,2.167248e-08,0,1.0
mehrdadshahii,1.0,7.4349504e-10,0,1.0
hzhar9686923,0.99999976,1.9809237e-07,0,0.99999976
mplrq1,1.0,3.6625455e-08,0,1.0
mehr64208049,0.99999964,3.8046264e-07,0,0.99999964
virgoasare,1.0,9.568189e-11,0,1.0
mamanbozork,1.0,6.1560444e-11,0,1.0
roniieg20470,1.0,5.3530186e-10,0,1.0
tammnews,0.9999995,4.7273352e-07,0,0.9999995
childrenflagis,0.9999999,1.4500104e-07,0,0.9999999
alkar1899342,1.0,3.4396732e-11,0,1.0
golfammmmmm,1.0,9.70969e-12,0,1.0
irannmanaa,0.9999999,1.4116713e-07,0,0.9999999
why0101010101,0.99999976,1.8421464e-07,0,0.99999976
mmd1218123,0.99999964,3.1587547e-07,0,0.99999964
7mrseven77,1.0,1.0770575e-10,0,1.0
iranswastika,1.0,5.2792497e-15,0,1.0
marionawfal,0.9999999,1.2220028e-07,0,0.9999999
irankhan000m,0.9999994,5.581168e-07,0,0.9999994
mard_e_kohan,0.99999964,3.243852e-07,0,0.99999964
psychology49590,1.0,2.351209e-10,0,1.0
hawksinister,0.9999995,4.7381948e-07,0,0.9999995
trgryn17uro,0.9999999,1.1089744e-07,0,0.9999999
madamefigaro3,1.0,1.1228684e-08,0,1.0
fardinpage,0.9999999,1.2219678e-07,0,0.9999999
sasan5066461056,0.9999999,7.940584e-08,0,0.9999999
armanshahriari,1.0,1.3592177e-08,0,1.0
mohsen11872185,1.0,2.8912064e-08,0,1.0
azad123643,2.3220719e-09,1.0,1,1.0
ajenglish,0.99999964,3.805116e-07,0,0.99999964
amirami47246274,4.7123256e-09,1.0,1,1.0
azadiiran332846,0.99999917,8.787512e-07,0,0.99999917
fariba23581280,1.0,2.086955e-08,0,1.0
senatorpersia,1.0,1.5637986e-13,0,1.0
mia795806987870,0.9999999,1.4426558e-07,0,0.9999999
_aastik_ladki,3.1561418e-09,1.0,1,1.0
chelpaseh,0.9999999,1.5044456e-07,0,0.9999999
iranazadamman,0.99999917,8.465032e-07,0,0.99999917
shahshenas2577,1.0,1.7798587e-08,0,1.0
alireza25746401,1.0,3.9010986e-10,0,1.0
mojirani1388,1.0,3.289382e-09,0,1.0
bhkhda29584,1.0,5.6035575e-12,0,1.0
pjr1345,1.0,2.0602192e-08,0,1.0
irandokhti35158,1.0,1.101044e-10,0,1.0
iranmehr_ali,9.004673e-07,0.99999905,1,0.99999905
sedayeazadd,1.0,1.5228876e-08,0,1.0
mehraryaei1,1.0,6.611911e-10,0,1.0
mozhtaba2024,0.9999999,1.4992065e-07,0,0.9999999
toobi2120,1.0,4.2987964e-09,0,1.0
payande_iran3,0.99999964,3.4284426e-07,0,0.99999964
valiantpersian,1.0,1.7442509e-09,0,1.0
utab49,0.9999995,4.6521453e-07,0,0.9999995
