source_key,target_key,relation,owner_key,owner_split
agender_shux,sashtyani,follows,sashtyani,train
mehrjooruhollah,sashtyani,follows,sashtyani,train
zabdi168,sashtyani,follows,sashtyani,train
linda_rainbow21,sashtyani,follows,sashtyani,train
mohamadbgi,sashtyani,follows,sashtyani,train
hamedzarie70011,sashtyani,follows,sashtyani,train
mahdirahmatii,sashtyani,follows,sashtyani,train
saeedh1374,sashtyani,follows,sashtyani,train
arian_bajool,sashtyani,follows,sashtyani,train
alizare100,sashtyani,follows,sashtyani,train
mohammadre93490,sashtyani,follows,sashtyani,train
mehdifarhadi16,sashtyani,follows,sashtyani,train
maruun82,sashtyani,follows,sashtyani,train
aria7998,sashtyani,follows,sashtyani,train
farahani7mahsa,sashtyani,follows,sashtyani,train
momenifaeze,sashtyani,follows,sashtyani,train
himonase,sashtyani,follows,sashtyani,train
liliit56098,sashtyani,follows,sashtyani,train
ramtinsobhi,sashtyani,follows,sashtyani,train
pani_kochok,sashtyani,follows,sashtyani,train
malavanaraz,sashtyani,follows,sashtyani,train
dya2103,sashtyani,follows,sashtyani,train
getaway83,sashtyani,follows,sashtyani,train
mx__file,sashtyani,follows,sashtyani,train
sisaubzmtw2,sashtyani,follows,sashtyani,train
ali__khaje,sashtyani,follows,sashtyani,train
acid_siktir_,sashtyani,follows,sashtyani,train
starmanasli,sashtyani,follows,sashtyani,train
z_rezvani78,sashtyani,follows,sashtyani,train
itmahabad,sashtyani,follows,sashtyani,train
tatayibazigoush,sashtyani,follows,sashtyani,train
mah19585158,sashtyani,follows,sashtyani,train
redcherry311,sashtyani,follows,sashtyani,train
yaer97,sashtyani,follows,sashtyani,train
nassimm473849,sashtyani,follows,sashtyani,train
sasichamosh,sashtyani,follows,sashtyani,train
master77845,sashtyani,follows,sashtyani,train
sarvar609,sashtyani,follows,sashtyani,train
coooliam,sashtyani,follows,sashtyani,train
amydtdyn81434,sashtyani,follows,sashtyani,train
miladpourramez1,sashtyani,follows,sashtyani,train
gylywyly,sashtyani,follows,sashtyani,train
shapoork25592,sashtyani,follows,sashtyani,train
sakavianha,sashtyani,follows,sashtyani,train
sepahi4011,sashtyani,follows,sashtyani,train
ltecnimah70369,sashtyani,follows,sashtyani,train
homeirav82063,sashtyani,follows,sashtyani,train
brownm91152,sashtyani,follows,sashtyani,train
kamalnasir13568,sashtyani,follows,sashtyani,train
shyl1484439,sashtyani,follows,sashtyani,train
persian_ir77,sashtyani,follows,sashtyani,train
miri___mirii,sashtyani,follows,sashtyani,train
mackeral12a,sashtyani,follows,sashtyani,train
mahdipanjshir,sashtyani,follows,sashtyani,train
ihorizon51495,sashtyani,follows,sashtyani,train
anonymous_30328,sashtyani,follows,sashtyani,train
amirkhalatbary,sashtyani,follows,sashtyani,train
annebayefsky,sashtyani,follows,sashtyani,train
iliopoulosanton,sashtyani,follows,sashtyani,train
civilresearcher,sashtyani,follows,sashtyani,train
sah_demir,sashtyani,follows,sashtyani,train
raheemnikbakht,sashtyani,follows,sashtyani,train
g724csfmcy,sashtyani,follows,sashtyani,train
amir_ali_yam,sashtyani,follows,sashtyani,train
amarisamy,sashtyani,follows,sashtyani,train
masoudavami,sashtyani,follows,sashtyani,train
ricky23001186,sashtyani,follows,sashtyani,train
emanast56356,sashtyani,follows,sashtyani,train
hadirrezvani7,sashtyani,follows,sashtyani,train
yeyomatatan,sashtyani,follows,sashtyani,train
ahmadsa55540307,sashtyani,follows,sashtyani,train
dihdhadi70424,sashtyani,follows,sashtyani,train
gholamreza87904,sashtyani,follows,sashtyani,train
lavarham,sashtyani,follows,sashtyani,train
bluelemonade71,sashtyani,follows,sashtyani,train
hamidaverkiany,sashtyani,follows,sashtyani,train
frbany35503,sashtyani,follows,sashtyani,train
zsayenpour_,sashtyani,follows,sashtyani,train
esmaeilali1339,sashtyani,follows,sashtyani,train
oston1818,sashtyani,follows,sashtyani,train
najjarimahdi,sashtyani,follows,sashtyani,train
kasra_mp0,sashtyani,follows,sashtyani,train
sorena_777,sashtyani,follows,sashtyani,train
wwerrrdd3380682,sashtyani,follows,sashtyani,train
maloonmohmd,sashtyani,follows,sashtyani,train
alexand50431485,sashtyani,follows,sashtyani,train
jordi1963cat,sashtyani,follows,sashtyani,train
st2022st,sashtyani,follows,sashtyani,train
funktrollbros,sashtyani,follows,sashtyani,train
farhangjan,sashtyani,follows,sashtyani,train
uik1487585,sashtyani,follows,sashtyani,train
crzcloud,sashtyani,follows,sashtyani,train
ali_bi__gham,sashtyani,follows,sashtyani,train
hamed8845901,sashtyani,follows,sashtyani,train
bitpilot3,sashtyani,follows,sashtyani,train
safisafi987485,sashtyani,follows,sashtyani,train
heart3816833017,sashtyani,follows,sashtyani,train
darth_baconator,sashtyani,follows,sashtyani,train
ahani_mr28547,sashtyani,follows,sashtyani,train
zargoddes,sashtyani,follows,sashtyani,train
mohamadi_m78915,sashtyani,follows,sashtyani,train
hezbjomhurikhah,sashtyani,follows,sashtyani,train
any966192664712,sashtyani,follows,sashtyani,train
nebulao84796,sashtyani,follows,sashtyani,train
mohamad_zm24897,sashtyani,follows,sashtyani,train
preserv_america,sashtyani,follows,sashtyani,train
houri61229751,sashtyani,follows,sashtyani,train
hhamsterkombati,sashtyani,follows,sashtyani,train
seylani_rozita,sashtyani,follows,sashtyani,train
kafkandthewhore,sashtyani,follows,sashtyani,train
mehdi_kingam,sashtyani,follows,sashtyani,train
kolbe96186,sashtyani,follows,sashtyani,train
yazahrah140,sashtyani,follows,sashtyani,train
tehrann2244,sashtyani,follows,sashtyani,train
idontknow7447,sashtyani,follows,sashtyani,train
zohalnepton,sashtyani,follows,sashtyani,train
lordjavino,sashtyani,follows,sashtyani,train
farrokh87468477,sashtyani,follows,sashtyani,train
rezamirez,sashtyani,follows,sashtyani,train
josefnuble,sashtyani,follows,sashtyani,train
helaleh21,sashtyani,follows,sashtyani,train
manochehrt1354,sashtyani,follows,sashtyani,train
masoudonline80,sashtyani,follows,sashtyani,train
behzadraza69125,sashtyani,follows,sashtyani,train
karimi_elh35450,sashtyani,follows,sashtyani,train
godfather71717,sashtyani,follows,sashtyani,train
shraki02140,sashtyani,follows,sashtyani,train
hamed_przmy,sashtyani,follows,sashtyani,train
joaocar39977211,sashtyani,follows,sashtyani,train
kurosch661987,sashtyani,follows,sashtyani,train
mimi202920,sashtyani,follows,sashtyani,train
p_ppieter,sashtyani,follows,sashtyani,train
abkshz,sashtyani,follows,sashtyani,train
mo_1083693,sashtyani,follows,sashtyani,train
nikzadg,sashtyani,follows,sashtyani,train
mosiparadox,sashtyani,follows,sashtyani,train
mehryadk,sashtyani,follows,sashtyani,train
sheft17,sashtyani,follows,sashtyani,train
erfanheshmati,sashtyani,follows,sashtyani,train
aylar898447,sashtyani,follows,sashtyani,train
maadarbaste,sashtyani,follows,sashtyani,train
petrichore12,sashtyani,follows,sashtyani,train
khodaye_hayat,sashtyani,follows,sashtyani,train
samanbp,sashtyani,follows,sashtyani,train
mhdgholami,sashtyani,follows,sashtyani,train
fatemehloni,sashtyani,follows,sashtyani,train
lissa24897,sashtyani,follows,sashtyani,train
behrang_sohrabi,sashtyani,follows,sashtyani,train
pagan104,sashtyani,follows,sashtyani,train
sherminamiri,sashtyani,follows,sashtyani,train
ma_mohamma28224,sashtyani,follows,sashtyani,train
amir_meshad,sashtyani,follows,sashtyani,train
karbar81469477,sashtyani,follows,sashtyani,train
kharless_cactus,sashtyani,follows,sashtyani,train
mrcoopper,sashtyani,follows,sashtyani,train
amr96_raf,sashtyani,follows,sashtyani,train
god_nice1,sashtyani,follows,sashtyani,train
nothing13570912,sashtyani,follows,sashtyani,train
ni6h4i3l1i0st,sashtyani,follows,sashtyani,train
peekapo0o,sashtyani,follows,sashtyani,train
mru0mru,sashtyani,follows,sashtyani,train
bjnk10,sashtyani,follows,sashtyani,train
moosaviah,sashtyani,follows,sashtyani,train
irangoz,sashtyani,follows,sashtyani,train
amirword,sashtyani,follows,sashtyani,train
bahamechiz,sashtyani,follows,sashtyani,train
grayman_ka,sashtyani,follows,sashtyani,train
aghostlovedtea,sashtyani,follows,sashtyani,train
m29607294,sashtyani,follows,sashtyani,train
aminrezvan,sashtyani,follows,sashtyani,train
hinhinber,sashtyani,follows,sashtyani,train
farshidrezaee,sashtyani,follows,sashtyani,train
ayazdanbod,sashtyani,follows,sashtyani,train
mamal_amricaee,sashtyani,follows,sashtyani,train
