screen_name,user_key,label_binary,split,has_text_model,n_text_tweets
Dokhi_sag,dokhi_sag,0,train,1,3
History_Wall,history_wall,0,train,1,15
corrrdeliiiaaa,corrrdeliiiaaa,0,train,1,2
ahmad_313m,ahmad_313m,0,train,1,1
kouresh_kabir,kouresh_kabir,0,train,1,50
zone7689,zone7689,1,train,1,13
rahar9075,rahar9075,1,train,1,50
rahayee_,rahayee_,0,train,1,1
NaderSoltanpour,nadersoltanpour,0,train,1,1
fatemeh_sadat91,fatemeh_sadat91,0,train,1,1
NilaBehzadi,nilabehzadi,0,train,1,4
Nokhod_f,nokhod_f,0,train,1,1
dariush_omran,dariush_omran,0,train,1,1
XPishik,xpishik,0,train,1,50
FarhadiIvar,farhadiivar,0,train,1,1
SavaSavadkoohi,savasavadkoohi,0,train,1,37
soozi2244,soozi2244,0,train,1,1
TNitrT,tnitrt,0,train,1,12
moslehiali,moslehiali,0,train,1,1
khormal0098,khormal0098,0,train,1,25
Thank_you_Dj,thank_you_dj,0,train,1,41
KingBacker1,kingbacker1,1,train,1,15
FattahiFarzad,fattahifarzad,0,train,1,1
SasanAmjadi,sasanamjadi,0,train,1,1
cafeandisheh,cafeandisheh,0,train,1,3
noodlesss1990,noodlesss1990,0,train,1,50
Sokoot3333,sokoot3333,1,train,1,2
CaramelCakeeee,caramelcakeeee,0,train,1,3
Cheguevara_Amir,cheguevara_amir,0,train,1,1
persian_warior,persian_warior,0,train,1,6
KnightAnahita19,knightanahita19,0,train,1,50
Birdofpeacelove,birdofpeacelove,0,train,1,17
ItsKouroshKabir,itskouroshkabir,1,train,1,5
sandys_khor,sandys_khor,0,train,1,1
siavash_sepehr0,siavash_sepehr0,0,train,1,50
vanheda97,vanheda97,0,train,1,21
StupidJalal,stupidjalal,0,train,1,2
iranovsky,iranovsky,0,train,1,24
riokhosravi,riokhosravi,0,train,1,50
Radiomashrooteh,radiomashrooteh,0,train,1,8
YepremKhann,yepremkhann,0,train,1,44
DavariAbdolreza,davariabdolreza,0,train,1,1
Sepideh52191550,sepideh52191550,1,train,1,50
IrTimes,irtimes,0,train,1,1
FXMNDLSN,fxmndlsn,0,train,1,3
avantgardearses,avantgardearses,0,train,1,24
MahdaviLeily,mahdavileily,0,train,1,1
Maryam_Rajavi,maryam_rajavi,0,train,1,2
rahaaaman,rahaaaman,0,train,1,1
mahsa_300,mahsa_300,1,train,1,50
agha_rashti2,agha_rashti2,0,train,1,50
maanii_a,maanii_a,0,train,1,3
Armin19910215,armin19910215,0,train,1,1
MajidTavakolii,majidtavakolii,0,train,1,1
Overthrower_,overthrower_,0,train,1,8
benyamin_aras,benyamin_aras,0,train,1,1
reptile_fight,reptile_fight,0,train,1,50
RezaS27,rezas27,0,train,1,11
zarei_arad,zarei_arad,1,train,1,2
Armanjasoor,armanjasoor,1,train,1,50
2002Kingfox,2002kingfox,0,train,1,38
inazkam,inazkam,0,train,1,1
xBx73mOl77qBATH,xbx73mol77qbath,0,train,1,50
parspersian,parspersian,0,train,1,50
Mmlekate,mmlekate,0,train,1,5
Hossein_68_38,hossein_68_38,0,train,1,15
M0rtezaaaa,m0rtezaaaa,1,train,1,46
ShahramMakoui48,shahrammakoui48,0,train,1,39
pirouzimm,pirouzimm,0,train,1,2
Mahmoud55791825,mahmoud55791825,1,train,1,13
Pahlavi433726,pahlavi433726,0,train,1,19
PMOIRAN,pmoiran,1,train,1,2
nasrinraj,nasrinraj,0,train,1,2
Tinaaa2048,tinaaa2048,0,train,1,50
PsrAsfhan27734,psrasfhan27734,0,train,1,3
kshahrooz,kshahrooz,0,train,1,4
mobarez_nastooh,mobarez_nastooh,0,train,1,1
pahlavi_davoud,pahlavi_davoud,0,train,1,1
Solo_Commando,solo_commando,0,train,1,35
