user_key,label_binary,has_graph,split
dokhi_sag,0,1,train
history_wall,0,1,train
corrrdeliiiaaa,0,0,train
ahmad_313m,0,0,train
kouresh_kabir,0,1,train
zone7689,1,1,train
rahar9075,1,0,train
rahayee_,0,0,train
nadersoltanpour,0,1,train
fatemeh_sadat91,0,0,train
nilabehzadi,0,1,train
nokhod_f,0,0,train
dariush_omran,0,0,train
xpishik,0,0,train
farhadiivar,0,0,train
savasavadkoohi,0,0,train
soozi2244,0,0,train
tnitrt,0,0,train
moslehiali,0,0,train
khormal0098,0,0,train
thank_you_dj,0,0,train
kingbacker1,1,0,train
fattahifarzad,0,0,train
sasanamjadi,0,1,train
cafeandisheh,0,0,train
noodlesss1990,0,0,train
sokoot3333,1,0,train
caramelcakeeee,0,0,train
cheguevara_amir,0,0,train
persian_warior,0,0,train
knightanahita19,0,0,train
birdofpeacelove,0,1,train
itskouroshkabir,1,0,train
sandys_khor,0,0,train
siavash_sepehr0,0,1,train
vanheda97,0,1,train
stupidjalal,0,1,train
iranovsky,0,0,train
riokhosravi,0,0,train
radiomashrooteh,0,0,train
yepremkhann,0,0,train
davariabdolreza,0,1,train
sepideh52191550,1,0,train
irtimes,0,0,train
fxmndlsn,0,0,train
avantgardearses,0,0,train
mahdavileily,0,1,train
maryam_rajavi,0,0,train
rahaaaman,0,0,train
mahsa_300,1,0,train
agha_rashti2,0,0,train
maanii_a,0,0,train
armin19910215,0,0,train
majidtavakolii,0,1,train
overthrower_,0,1,train
benyamin_aras,0,1,train
reptile_fight,0,0,train
rezas27,0,0,train
zarei_arad,1,0,train
armanjasoor,1,0,train
2002kingfox,0,1,train
inazkam,0,0,train
xbx73mol77qbath,0,0,train
parspersian,0,0,train
mmlekate,0,1,train
hossein_68_38,0,0,train
m0rtezaaaa,1,1,train
shahrammakoui48,0,0,train
pirouzimm,0,0,train
mahmoud55791825,1,0,train
pahlavi433726,0,0,train
pmoiran,1,1,train
nasrinraj,0,0,train
tinaaa2048,0,0,train
psrasfhan27734,0,0,train
kshahrooz,0,0,train
mobarez_nastooh,0,1,train
pahlavi_davoud,0,1,train
solo_commando,0,1,train
mihanimarzban03,0,0,train
siaayrom,1,0,train
miladpoureisa,0,0,train
fairghh,0,0,train
kaykhosrow5,0,1,train
nimania,0,0,train
khosrowalikord2,0,1,train
rayan9717,0,1,train
amin1917,0,0,train
najibnaik,0,1,train
neo_pahlavism1,1,0,train
iraniazad140,1,0,train
ebrahimi_mazyar,0,0,train
kouroch7,0,0,train
ab_ganji,0,1,train
hiran_irani,0,0,train
ghorbaniiniyak,0,1,train
ladyjusticeiran,0,0,train
limondar0,0,0,train
shirkhaan69,0,0,train
behzadhamrahi,0,0,train
ivar_lathbrug2,0,0,train
majidirani99,0,0,train
mooniter,0,0,train
irandokht_20,0,1,train
mohammadsigari,0,0,train
locallandia,0,0,train
ba262626,0,0,train
darksheeprise,0,1,train
the_doonald,1,0,train
sonofthebeach22,0,0,train
ted_homan1361,0,1,train
amiretemadi,0,1,train
milaniabbas,1,1,train
danamehraban,0,1,train
fakhravar,0,1,train
azadlavasani,0,0,train
adam_hesabi1,0,0,train
tonyfreeman2015,0,0,train
merlin_a_h,0,0,train
shadisadr,0,0,train
radmehrsiavash,0,0,train
rasulbajelan,0,1,train
ali_bitarafan5,0,1,train
iraj63569385,0,1,train
mard_meshki,0,0,train
arteshariamehr,0,0,train
darwinsabouri,0,0,train
tanha_5566,0,1,train
kayvanabbassi,0,0,train
liberalartist00,0,0,train
irannewsagency0,1,0,train
zimmermann____,1,0,train
nastaran8888,1,1,train
dariush2023,1,1,train
shirinkhanomam,0,1,train
amirmoghadam_ir,0,0,train
aminkhss,0,0,train
alinaghi2018,0,0,train
sushyanpahlavi,0,1,train
protester0101,0,1,train
shino_sdch,0,0,train
kasrakarimi3,0,0,train
fazel_twt,0,0,train
agha_xavier2,0,0,train
awat_baggio,0,0,train
itshamedfard,0,1,train
hardseltzerr,0,0,train
moradian_ir,0,0,train
arash_tehran,0,0,train
yasipatriot,0,1,train
alinejadmasih,0,1,train
cemalk25777cema,1,0,train
brgsht8970,0,0,train
realpersiangod,0,1,train
ardavanmofid,0,0,train
hananyapersian,0,0,train
eboshijasmine,0,0,train
golberg2582,1,0,train
mayrayazdari,0,1,train
accuracyhhm,0,0,train
radoclub,0,0,train
ftmh_zhra_jnde,0,1,train
madarisarzamin,0,0,train
hadint83,0,1,train
keykemiveyi,1,0,train
nasim_zephyr,1,0,train
fali1969,0,0,train
pantearasouli,1,1,train
firstzorba1,0,0,train
kouli2017,0,0,train
reddington_la,0,1,train
jalilparsi,0,0,train
hosseinashtarii,0,1,train
shooresh57,0,1,train
vajname,0,1,train
anubis_god2,0,1,train
aramofen,0,0,train
viemonx,0,0,train
roshanak_ast,0,0,train
amir41355273,1,1,train
arrested_voice,0,1,train
mohammadd4456,0,0,train
mohammadsaam_m,0,0,train
ghassemiabi,0,0,train
me_unstoppable2,0,0,train
pouriazeraati,0,0,train
taramedric,0,1,train
bardiagarshasbi,0,0,train
fcpii_official,0,0,train
aliemamiofnyc,0,0,train
kfravahar,0,1,train
yebekhe,0,0,train
hosein_golzar75,1,0,train
scorpionofiran1,0,0,train
bermooda1380739,1,0,train
lexi__princess,0,0,train
iranaryan2579,0,1,train
naghmel,1,0,train
_hassan_sabbah_,0,0,train
trollsiasi,0,0,train
oshtb,0,0,train
iraanbaan,1,0,train
belovediraaaan,0,0,train
artesh_shah,0,0,train
bb_goal,1,0,train
mahizadyaar,0,1,train
cpiparty,0,1,train
azadsocial_,0,0,train
siavosh48,0,0,train
koteh_bamishi,0,1,train
jo5x8hatcf3o5px,0,0,train
mrhosein00,0,0,train
baaarzaaakh,0,0,train
yyh8x5hc6nxh1wd,1,1,train
mabi182,0,1,train
greywol08482159,1,0,train
l0mpan,0,0,train
georg_patriot,0,0,train
jabijoon26588,1,0,train
adam_hesabi,0,1,train
lawdanbazargan,1,0,train
ssaallaar,1,1,train
delban_sa,0,0,train
realfarid7,0,0,train
nilgonbanoo,0,0,train
tymsar2578,1,0,train
im_zhozefin,0,0,train
shahira60210003,1,0,train
mohammadsoltann,0,1,train
ariyaii_rahjoo,0,0,train
esmaeilion,0,0,train
atheistchild789,0,1,train
keyonek1,0,0,train
hegei_javan,0,1,train
netvand,0,0,train
ladikhanom,0,1,train
sssccpp,0,0,train
kourosh634,1,0,train
ahampay,0,1,train
iraj_mesdaghi,1,0,train
enferadi_shode,0,0,train
rezarez11109331,1,0,train
chehre3521,0,0,train
nazanin7,0,0,train
proudlypersian1,0,0,train
rufusbeyn,1,0,train
starbombair,0,0,train
bob00033791,0,1,train
pasargadguard,0,0,train
mandela08940434,0,0,train
hoda2728,0,0,train
panteapeyvandi,0,1,train
afshari_aku,0,1,train
mehdimmj,0,1,train
shahii1984,0,0,train
javadsimin,0,0,train
6njeli,0,0,train
hajmaameed,0,0,train
rezayyyyyyy,0,0,train
megamaniran,1,0,train
hosseinghatib,0,0,train
mard62881776,0,1,train
rezavaisi,0,1,train
eliiranabad,1,0,train
janankhorram,0,1,train
iranimmortals,0,1,train
baranaryaee2,1,0,train
king_fishpoet,0,0,train
napelon_daii,0,0,train
jwd06342045,0,0,train
sohrab_siyavosh,1,0,train
5anazazana5,0,0,train
bahram2541,0,0,train
upuouo,1,0,train
voltaireiran,0,0,train
akhoondemorde,0,1,train
sadaf__12,0,1,train
bachejirjirak,0,1,train
ffarhad7412,1,0,train
aokurucz,1,0,train
gard_e_javidan,0,0,train
sirous15,1,0,train
rezakh__,0,0,train
sheyda_ri,0,1,train
alirzadabir,0,0,train
nafasjan903269,0,1,train
siamakghassemi,0,1,train
aryammehr_2,0,0,train
farshadeashour,0,0,train
sheina__,0,0,train
kharmagas_uk,0,1,train
akhtar1989,0,0,train
max_mad777,0,0,train
baran27922,0,0,train
margbar3fased,0,0,train
alireza7553,0,0,train
prime_factor_,0,0,train
arad60292050,1,0,train
rezatorkamand,0,0,train
kharkhali,0,0,train
samirkh1389,1,0,train
drfalahatpishe,0,0,train
bahar00452227,0,0,train
hichkasofficial,0,0,train
aalchaa,0,0,train
sasanrahimpour1,1,1,train
zootopiazz,0,0,train
inventor_kevin,0,0,train
