id,screen_name,user_key,name,description,clean_description,created_at,followers_count,friends_count,favourites_count,listed_count,media_count,statuses_count,status_count,normal_followers_count,user_age,follower_growth_rate,friends_growth_rate,default_profile,default_profile_image,has_custom_timelines,possibly_sensitive,hashtag_in_description,numbers_in_description,no_type_tweet,no_type_retweet_with_comment,no_type_reply,mean_no_media_per_tweet,mean_no_words,no_languages,mean_no_hashtags,mean_favourites_per_tweet,time_between_tweets,tweet_frequency,min_tweets_per_hour,min_tweets_per_day,max_tweets_per_hour,max_tweets_per_day,max_occurence_of_same_gap,unique_mention_rate_per_tweet,mean_user_mentions_per_tweet,retweet_as_tweet_rate,no_retweet_tweets,mean_retweets_per_tweet,description_length,followers_friend_ratio,num_digits_in_name,num_digits_in_username,url_in_description,label_raw,label_binary,has_profile,has_description,has_raw_tweets,has_behavior_temporal,has_graph
1.49435e+18,Dokhi_sag,dokhi_sag,رقیب زید قبلیت,به یاد زیبا ترین دختر دنیا #نیکا_شاکرمی🖤                                                      (تبلیغات و همکاری پذیرفته میشود),به یاد زیبا ترین دختر دنیا نیکا_شاکرمی (تبلیغات و همکاری پذیرفته میشود),2022-02-17T16:37:01+00:00,108307.0,75710.0,18746.0,41.0,1203.0,8870.0,8870.0,108307.0,1143.0,94.75678,66.23797,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,1.0,28.33333,1.0,1.333333,1645.0,3370569.0,7.76028,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4433.5,8867.0,105.3333,126,1.4305507858935411,0,0,0,human(2),0,1,1,1,1,1
1.39019e+18,History_Wall,history_wall,The WALL,"تحلیل گر سیاسی و امنیتی 
شاگرد اول کلاس مانوک

پادشاهی خواه/ناسیونالیست انقلابی/#ایرانشهری/جانم فدای میهن

**فالو کنید  قطعا بک میدم**","تحلیل گر سیاسی و امنیتی 
 شاگرد اول کلاس مانوک
 
 پادشاهی خواه/ناسیونالیست انقلابی/ایرانشهری/جانم فدای میهن
 
 **فالو کنید قطعا بک میدم**",2021-05-06T06:33:01+00:00,2595.0,686.0,43047.0,2.0,282.0,5331.0,5331.0,2595.0,1430.0,1.814685,0.47972,1.0,0.0,0.0,0.0,1.0,0.0,10.0,2.0,3.0,0.789474,40.10526,1.0,1.631579,426.8421,5011650.0,3.727972,0.0,0.0,4.0,4.0,5.0,0.210526,0.421053,531.6,5316.0,42.26316,134,3.782798833819242,0,0,0,human(2),0,1,1,1,1,1
1.31612e+18,corrrdeliiiaaa,corrrdeliiiaaa,Cordelia,ریگیم در کفش این دنیا,ریگیم در کفش این دنیا,2020-10-13T21:03:06+00:00,1739.0,77.0,457302.0,9.0,7890.0,138438.0,138438.0,1739.0,1635.0,1.063609,0.047095,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,9.666667,1.0,2.0,1.0,1259993.0,84.67156,0.0,0.0,2.0,2.0,2.0,0.333333,0.333333,69218.0,138436.0,0.0,21,22.584415584415584,0,0,0,human(2),0,1,1,1,1,0
1.64083e+18,ahmad_313m,ahmad_313m,احمد مروارید,کوچکترین سرباز انقلاب,کوچکترین سرباز انقلاب,2023-03-28T21:27:42+00:00,5293.0,5.0,1157.0,35.0,434.0,3426.0,3426.0,5293.0,739.0,7.162382,0.006766,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,55.0,1.0,0.0,30.0,0.0,4.635995,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3425.0,3425.0,3.0,21,1058.6,0,3,0,human(2),0,1,1,1,1,0
8.08471e+17,kouresh_kabir,kouresh_kabir,Kouresh Kabir,👑تنها تابع قوانین کشور پادشاهی ایرانم ‌و ایمان دارم ایران تنها با ادامه سلسله پهلوی دوباره باز سازی خواهد شد و به شکوه و اقتدار گزشته خود باز خواهد گشت.👑,تنها تابع قوانین کشور پادشاهی ایرانم ‌و ایمان دارم ایران تنها با ادامه سلسله پهلوی دوباره باز سازی خواهد شد و به شکوه و اقتدار گزشته خود باز خواهد گشت.,2016-12-13T00:39:07+00:00,6603.0,5201.0,47799.0,6.0,4692.0,19132.0,19132.0,6603.0,3035.0,2.175618,1.713674,1.0,0.0,1.0,0.0,0.0,0.0,85.0,0.0,13.0,0.885965,26.27193,3.0,3.061404,342.9825,627524.6,6.303789,0.0,0.0,4.0,14.0,17.0,0.192982,0.377193,223.9294118,19034.0,82.28947,153,1.2695635454720249,0,0,0,human(2),0,1,1,1,1,1
1.52913e+18,zone7689,zone7689,👑👑رنسانس ایران👑👑,"(ازقادسیه تافتنه57تجاوزبه وطنم.ققنوس ایران,ازخاکسترخودبرمی خیزد)(#شاهنشاه_رضا_پهلوی👑/#جاویدشاه 👑)(متاهل ومتعهد)(گروه وپیام دایرکت⛔)(عرزشی،مجاهد،تجزیه طلب⛔)","(ازقادسیه تافتنه57تجاوزبه وطنم.ققنوس ایران,ازخاکسترخودبرمی خیزد)(شاهنشاه_رضا_پهلوی/جاویدشاه )(متاهل ومتعهد)(گروه وپیام دایرکت)(عرزشی،مجاهد،تجزیه طلب)",2022-05-24T15:55:55+00:00,5172.0,382.0,60904.0,2.0,1316.0,27504.0,27504.0,5172.0,1047.0,4.939828,0.364852,1.0,0.0,0.0,0.0,1.0,1.0,5.0,2.0,6.0,0.692308,21.92308,3.0,1.384615,227.4615,6134530.0,26.26934,0.0,0.0,2.0,2.0,1.0,0.384615,0.615385,5498.2,27491.0,53.30769,155,13.539267015706807,0,4,0,bot(1),1,1,1,1,1,1
1.57235e+18,rahar9075,rahar9075,💎PahlaviReturn 👑🦁🌞Raha الحریه لیس امنیه,"#جاویدشاه
We Iranians love @pahlavireza @ShahbanouFarah time Now:  #pahlavi4Iran 📺@unikador @etelaf10 @ProjectLeonOnX @CinemaRex
NO2 Media FABRICATION! فستقه","جاویدشاه
 We Iranians love @pahlavireza @ShahbanouFarah time Now: pahlavi4Iran @unikador @etelaf10 @ProjectLeonOnX @CinemaRex
 NO2 Media FABRICATION! فستقه",2022-09-20T22:12:55+00:00,5868.0,7503.0,64050.0,5.0,19964.0,97446.0,97446.0,5868.0,928.0,6.323276,8.085129,1.0,0.0,1.0,0.0,1.0,1.0,30.0,52.0,82.0,0.709677,42.87097,13.0,1.645161,32.11694,241288.4,105.0065,0.0,0.0,6.0,25.0,85.0,0.25,3.044355,3242.733333,97282.0,12.43145,157,0.7820871651339464,0,4,0,bot(1),1,1,1,1,1,0
1.30545e+18,rahayee_,rahayee_,رهی,,,2020-09-14T10:31:19+00:00,12022.0,7183.0,61687.0,10.0,1208.0,60675.0,60675.0,12022.0,1664.0,7.22476,4.316707,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,1.0,2.0,53.0,0.0,36.46334,2.0,2.0,2.0,2.0,2.0,0.0,0.0,60674.0,60674.0,3.0,0,1.673673952387582,0,0,0,human(2),0,1,0,1,1,0
1316150730.0,NaderSoltanpour,nadersoltanpour,Nader Soltanpour نادر سلطانپور,"Freelance Journalist
🌐پادکست‌ «جهان با نادر»🌐
🔗https://t.co/NfiWa9CdpH
🔗https://t.co/ESYHcoKGIZ","Freelance Journalist
 پادکست‌ «جهان با نادر»",2013-03-30T10:18:12+00:00,35357.0,379.0,5038.0,89.0,459.0,2235.0,2235.0,35357.0,4389.0,8.055821,0.086352,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,127.0,1.0,0.0,1208.0,0.0,0.509228,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2234.0,2234.0,131.0,95,93.29023746701849,0,0,1,human(2),0,1,1,1,1,1
1.29928e+18,fatemeh_sadat91,fatemeh_sadat91,خانم فردوس,"همسر / مادر/ کارشناسی ارشد حقوق بین الملل/ با دغدغه هایی از جنس فرهنگ و سیاست
( اکانت سوم)","همسر / مادر/ کارشناسی ارشد حقوق بین الملل/ با دغدغه هایی از جنس فرهنگ و سیاست
 ( اکانت سوم)",2020-08-28T09:25:13+00:00,9928.0,1168.0,157586.0,32.0,3041.0,22617.0,22617.0,9928.0,1681.0,5.906008,0.694825,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,15.0,1.0,1.0,321.0,0.0,13.45449,1.0,1.0,1.0,1.0,1.0,0.0,0.0,22616.0,22616.0,29.0,90,8.5,0,2,0,human(2),0,1,1,1,1,0
