id,screen_name,user_key,name,description,clean_description,created_at,followers_count,friends_count,favourites_count,listed_count,media_count,statuses_count,status_count,fast_followers_count,normal_followers_count,user_age,follower_growth_rate,friends_growth_rate,default_profile,default_profile_image,verified,has_custom_timelines,is_translator,possibly_sensitive,want_retweets,hashtag_in_description,numbers_in_description,translator_type,no_type_tweet,no_type_retweet_with_comment,no_type_reply,mean_no_media_per_tweet,mean_no_words,no_languages,mean_no_hashtags,mean_favourites_per_tweet,time_between_tweets,tweet_frequency,min_tweets_per_hour,min_tweets_per_day,max_tweets_per_hour,max_tweets_per_day,max_occurence_of_same_gap,unique_mention_rate_per_tweet,mean_user_mentions_per_tweet,retweet_as_tweet_rate,no_retweet_tweets,mean_retweets_per_tweet,description_length,followers_friend_ratio,num_digits_in_name,num_digits_in_username,url_in_description,label_raw,label_binary,has_profile,has_raw_tweets,has_description,has_behavior_temporal,has_graph
1.25148e+18,PahlaviahoraeeP,pahlaviahoraeep,👑👑pahlaviahoraee👑👑⛔️دایرکت بلاک#KingRezaPahlav,"Royalist,and supporter of 
H.I.M #RezaPahlavi
تا خون در رگ من است جاوید شاه کلام من است و رضا شاه دوم، پهلوی سوم پادشاه من است
جاوید اعلیحضرت رضا شاه۲پهلوی۳","Royalist,and supporter of 
 H.I.M RezaPahlavi
 تا خون در رگ من است جاوید شاه کلام من است و رضا شاه دوم، پهلوی سوم پادشاه من است
 جاوید اعلیحضرت رضا شاه۲پهلوی۳",2020-04-18T11:40:56+00:00,21488.0,6408.0,275257.0,34.0,43739.0,320180.0,320180.0,0.0,21488.0,1813.0,11.85218,3.534473,1.0,False,0.0,True,False,False,False,1.0,1.0,none,1244.0,149.0,83.0,1.040416,27.87446,9.0,2.184936,263.3564,80114.13,176.6023,0.0,0.0,26.0,52.0,158.0,0.086957,0.184323,256.192926,318704.0,77.67851,156,3.35330836454432,0,0,0,bot(1),1,1,1,1,1,1
1.42929e+18,saeid_555555,saeid_555555,saeed-555 💚🤍❤️,تا ابد جاوید شاه🎋🎋🎋 @pahlaviReza گفتار نیک کردار نیک پندار نیک ،ورود عرزشی مجاهدین خلقی، توده‌ای،مصدقی،اکیدا⛔️ممنوع🎋🎋🎋,تا ابد جاوید شاه @pahlaviReza گفتار نیک کردار نیک پندار نیک ،ورود عرزشی مجاهدین خلقی، توده‌ای،مصدقی،اکیداممنوع,2021-08-22T03:43:17+00:00,10471.0,7962.0,280875.0,1.0,7079.0,224938.0,224938.0,0.0,10471.0,1322.0,7.920575,6.022693,1.0,False,0.0,True,False,False,False,0.0,0.0,none,74.0,4.0,4.0,1.121951,22.34146,4.0,3.231707,182.3415,730183.1,170.1498,0.0,0.0,4.0,9.0,1.0,0.085366,0.134146,3038.594595,224856.0,70.53659,118,1.3151218286862598,3,6,0,bot(1),1,1,1,1,1,1
1.44544e+18,Hoorieh81,hoorieh81,Houri,Love Peace Gentleness,Love Peace Gentleness,2021-10-05T17:45:06+00:00,11547.0,1176.0,490224.0,12.0,1580.0,148648.0,148648.0,0.0,11547.0,1278.0,9.035211,0.920188,1.0,False,0.0,True,False,False,False,0.0,0.0,none,56.0,4.0,269.0,0.278177,8.741007,4.0,1.131894,251.7458,155983.4,116.313,0.0,0.0,12.0,26.0,89.0,0.697842,0.932854,2648.553571,148319.0,45.41727,21,9.818877551020408,0,2,0,bot(1),1,1,1,1,1,1
1.49829e+18,Farbodahmadi880,farbodahmadi880,Farbood,"Listening to classical music is like reading philosophy books, not everybody has to do it. Music is not for everybody.","Listening to classical music is like reading philosophy books, not everybody has to do it. Music is not for everybody.",2022-02-28T13:34:54+00:00,3298.0,1916.0,272311.0,9.0,4317.0,131219.0,131219.0,0.0,3298.0,1132.0,2.913428,1.69258,1.0,False,0.0,True,False,False,False,0.0,0.0,none,1.0,0.0,0.0,1.0,8.0,1.0,0.0,4372.0,0.0,115.9178,2.0,2.0,2.0,2.0,2.0,0.0,0.0,131218.0,131218.0,515.0,118,1.721294363256785,0,3,0,human(2),0,1,1,1,1,1
1.63959e+18,ggehhry2,ggehhry2,شمام درست میگی,خسته از بنجل‌زادگان و بدتر از آخوند 😈,خسته از بنجل‌زادگان و بدتر از آخوند,2023-03-25T11:18:30+00:00,7368.0,876.0,341003.0,22.0,1246.0,81953.0,81953.0,0.0,7368.0,742.0,9.929919,1.180593,1.0,False,0.0,True,False,False,False,0.0,0.0,none,44.0,25.0,8.0,0.519481,44.64935,4.0,1.74026,312.1429,611798.3,110.4488,0.0,0.0,2.0,3.0,1.0,0.155844,0.376623,1860.818182,81876.0,61.83117,37,8.41095890410959,0,1,0,human(2),0,1,1,1,1,1
1.30291e+18,siavash_sepehr0,siavash_sepehr0,سیاوش سپهر,"در طول تاریخ، هیچگاه نور و تاریکی تا این حد واضح و آشکار نبودند، پادشاهی خواه، 

ما که از پرتو خورشید معذب بودیم     چشممان کور سزاوار همین شب بودیم","در طول تاریخ، هیچگاه نور و تاریکی تا این حد واضح و آشکار نبودند، پادشاهی خواه، 
 
 ما که از پرتو خورشید معذب بودیم چشممان کور سزاوار همین شب بودیم",2020-09-07T10:12:16+00:00,15400.0,10453.0,362547.0,17.0,1804.0,178841.0,178841.0,0.0,15400.0,1671.0,9.216038,6.255536,1.0,False,0.0,False,False,False,False,0.0,0.0,none,8.0,17.0,28.0,0.416667,26.48333,3.0,1.9,58.1,1886310.0,107.0263,0.0,0.0,5.0,7.0,8.0,0.466667,0.633333,22348.5,178788.0,23.76667,148,1.473261264708696,0,1,0,human(2),0,1,1,1,1,1
2172599869.0,hashemasa,hashemasa,👑Hashem Ramezan-zadeh👑(ایران متحد),"✍️ خواستار آگاهی ،صلح و دوستی  برای همه.  Restoration of Pahlavi Monarchy is the only chance to return humanity, peace and friendship to the world.","خواستار آگاهی ،صلح و دوستی برای همه. Restoration of Pahlavi Monarchy is the only chance to return humanity, peace and friendship to the world.",2013-11-03T18:29:47+00:00,25245.0,5793.0,455422.0,23.0,6552.0,382638.0,382638.0,0.0,25245.0,4171.0,6.052505,1.388876,0.0,False,0.0,True,False,False,False,0.0,0.0,none,316.0,373.0,170.0,0.634506,33.61294,8.0,2.128263,213.8434,115790.3,91.73771,0.0,0.0,6.0,15.0,23.0,0.180477,0.409762,1208.161392,381779.0,80.16232,147,4.357845675815639,0,0,0,bot(1),1,1,1,1,1,1
1.5784e+18,Reddington_LA,reddington_la,Raymond 🇮🇱,Iranian-Zionist - Monarchy for Iran 👑🇮🇱,Iranian-Zionist - Monarchy for Iran,2022-10-07T14:58:34+00:00,15790.0,13026.0,184051.0,2.0,2654.0,78794.0,78794.0,0.0,15790.0,911.0,17.3326,14.29857,1.0,False,0.0,True,False,False,False,0.0,0.0,none,30.0,1.0,7.0,0.974359,26.69231,3.0,1.102564,915.6667,1243947.0,86.49177,0.0,0.0,2.0,2.0,2.0,0.333333,0.333333,2625.2,78756.0,147.1795,39,1.2121910026101643,0,0,0,human(2),0,1,1,1,1,1
1.4048e+18,TahsinZhaleh,tahsinzhaleh,👑Zhaleh_Tahsin👑卐,"卐👑 به نام ایران 
برای ایران 
 #رضاشاه_روحت_شاد #جاویدشاه 👑 
    #KingRezaPahlavi
@PahlaviReza 
پادشاهی‌خواه _ راستگو  _ الگوشناس","卐 به نام ایران 
 برای ایران 
  رضاشاه_روحت_شاد جاویدشاه 
  KingRezaPahlavi
 @PahlaviReza 
 پادشاهی‌خواه _ راستگو _ الگوشناس",2021-06-15T14:14:26+00:00,15247.0,4947.0,174389.0,15.0,2770.0,120112.0,120112.0,0.0,15247.0,1390.0,10.96906,3.558993,1.0,False,0.0,True,False,False,False,1.0,0.0,none,631.0,39.0,8.0,0.639175,28.0,3.0,1.675994,205.514,143623.7,86.41151,0.0,0.0,3.0,8.0,2.0,0.045655,0.055965,189.2773376,119434.0,58.84389,128,3.0820699413786135,0,0,0,human(2),0,1,1,1,1,1
1.68146e+18,SushyanPahlavi,sushyanpahlavi,Sushyant Pahlavi,"تا شاه نباشد وطنی نیست،
برای ایران #جاویدشاه 
#شاهنشاه_رضا_پهلوى ،
زنده باد دولت پادشاهی پهلوی","تا شاه نباشد وطنی نیست،
 برای ایران جاویدشاه 
 شاهنشاه_رضا_پهلوى ،
 زنده باد دولت پادشاهی پهلوی",2023-07-19T00:07:34+00:00,3829.0,3388.0,58614.0,3.0,3387.0,53710.0,53710.0,0.0,3829.0,626.0,6.116613,5.412141,1.0,False,0.0,False,False,False,False,1.0,0.0,none,521.0,48.0,16.0,0.996581,32.09744,6.0,1.492308,250.6889,47887.92,85.79872,0.0,0.0,2.0,7.0,2.0,0.068376,0.133333,101.9673704,53125.0,53.10769,94,1.1301652892561984,0,0,0,human(2),0,1,1,1,1,1
