screen_name,tweet_count
007mi00,21
0DZiSITpiiNtEKe,220
0mhp037,1
0xKaveh,1
18Mandana,11
1fE0H6Rofed6H0P,25
2002Kingfox,38
2EXPvZWQ7LLPX4P,3
2TOSgzCFJ8VtSJK,4
2_grami,3
5anazazana5,6
5pickkk,116
6njeli,15
777Masiha,4
AAzadian2005,1
ALBORZ_ANJOMAN,45
ANITABAKT,18
ANTIAMOONiM,57
ANTYTHEZIS,25
ANUBIS_GOD2,77
APasserby12,84
ARDESHIR005,12
ARHAMEL2,974
AYAyatollahi,1
A_Jafarzadeh,1
AbiDel23952698,8
AccuracyHHM,102
Achaemenid2582,17
Action4IR,2
Addison77866447,55
AdelBadel7,6
Adlin_SheHulk,76
AfshinEllian1,1
AghayeThomas,14
AhmadySetareh,4
Airf0rArts,2
AjaNews_persian,1
Akhis_pakhis2,36
AkhoondeMorde,42
AlArabiya_Fa,1
Alex47778556934,1
Ali49781135,65
AliAghell,2
AliAlimartin893,209
AliEbrahimzade_,6
AliHamid27,10
AliReza_Hafezi1,1
AliZolg85051503,30
Alighazizade,1
AlinejadMasih,2
Alireza7553,11
Amardiyamm,1
AmiinMosavii94,1
AminBehroozi2,143
AmirHadiAnvari,2
AmirTaheri4,1
AmiriySara,2
Amooamirkhan,6
Angel71as,1
AngelOnDuty06,227
Ansari_Bahman,2
AntiProp_aganda,6
AplcarolineDr,76
AppleFarsii,1
Arad60292050,1001
Aramofen,91
Arash87kamangir,69
Arashir22142540,6
ArdavanMofid,4
Arezoo_8060,19
Arezurose,143
AriaOmid,3
AriaVatanpour,73
Ariamehhr,3
AriamehrAaron,93
ArianArian00,6
ArianMutter,49
Arianrad5,2
Ariaroshangar,15
Ario1401,151
Arman1828ex,2
Armanjasoor,67
Armin19910215,1
ArminNavabi,1
Arrested_voice,96
Arsalan_shizi,1
Arsha45914097,2
Artemizshahdokh,25
ArteshAriamehr,557
Aryammehr_2,409
Aryan_phoenix,2
Asadi222Mehrdad,22
AsbeAtash45,473
AsgharSepehri,6
Astrophil_Mars,305
Ava_e_rahaee,2
Awat_Baggio,10
AzadChakavak,175
AzadehKhorasan,136
Azadlavasani,5
Azihastam1,20
BB_Goal,28
BELOVEDIRAAAAN,2
BParnian1,34
BabakShekarabi,31
Bachejirjirak,98
Bahar00452227,1
Bahar__Bahari,55
Bahar_e_Azadi,1
Baharak_Irani,5
Bahram2541,9
BamdadPirouzi,478
Banuirani84,72
Banuyetehrani,3
Baran27922,60
Baranaryaee2,103
Baraye_Azadi_,105
BardiaGarshasbi,21
BardyaBorna,1
BarfiiIran,98
BeeVan88,368
BehrouzBoochani,1
Behrouzjt,4
BehzadZara,37
Behzadhamrahi,5
BeniSabti,3
Benyami1980,2
Benyamin_SADR,1
Bermooda1380739,139
Birdofpeacelove,17
Bob00033791,3
BobbyHeravi,6
Borhan_Majd,1
BugsBuny90,50
Calling_Parisa,166
Camel6561,72
CameronBehzadi,123
CaramelCakeeee,3
CemalK25777Cema,494
Chahdortt,8
Charchism,1
CheNahaara,211
Cheguevara_Amir,1
Chetoriarzeshi,7
Chobin_pahlavi,8
Cilia1919,89
CinemaRex,9
Cowboy_datoboy,1
CyrusGreatSon,4
D0wn_Under,1
DDSBobby,16
DJHastamMoHo,63
DPezeshkian1403,1
Dadylongleggpv,34
DamDami,1
DanaMehraban,21
DarGoldan2,18
DarkSheepRise,1
DavariAbdolreza,1
DawnAndTheX,1
DeTahmineh,3
Delban_Sa,6
DidarHesam,1
Diiyako_ir,41
Dokhi_sag,3
DrShehabP,34
EELKHAN1,1
E_Aria_N,2
EbneHava,1
Ebne_noah,38
EboshiJasmine,8
EghbaliBabak,4
Ehsanism,1
ElhamOmidvari,4
Emen43054466,40
EpochTimesPer,1
Ervin_dearcelo2,3
F7_Arash,2
FAZEL_TWT,1
FAli1969,21
FXMNDLSN,3
F_Mohajerani,2
Fahimehkhezr,1
Fakhravar,2
FanpageYaspah,27
Far_yaddd,20
FaranakAzad1,808
FarashgardFdn,3
FarbodArian,25
Farbodahmadi880,1
FardadFarahzad,1
Fareydunfarrokh,2
FarhadiIvar,1
Fariba60867811,4
FarsNews_Agency,1
FarzanehAghaei,12
FattahiFarzad,1
FereydounJRL,3
FeryTiamo,10
Ffarhad7412,144
ForadiMohammad,1123
Forouzandy,4
Freedom_of_IR,204
Ftmh_zhra_jnde,12
GIV2021,13
GadflyPersia,3
Gard_e_Javidan,90
GenJahanbani,3
GhassemiAbi,77
