screen_name,has_profile,has_raw_tweet,has_temporal,has_graph
PatriotPointman,True,False,True,False
IranZiba1401,True,False,True,False
KathyMobarez,True,True,True,False
MIIran20194,True,False,True,False
Artemis540721,True,False,True,False
tifraghe_n,True,False,True,False
EstouComIsrael,True,False,True,True
jjauthor,True,False,True,False
Lillian3003,True,False,True,False
amiralikohrang,True,False,True,False
Limportant_fr,True,False,True,False
SaraArya492797,True,False,True,False
Independent,True,False,True,False
Afsun_jnd,True,False,True,False
rahaey198039194,True,False,True,False
republic,True,False,True,False
rahe_AZADI_5,True,True,True,False
dadkhahim,True,True,True,False
kouroshjanani,True,False,True,False
HiwaTubeAI,True,True,True,False
MohammadLevel0,True,False,True,True
BlackAdler21,True,False,True,False
business,True,False,True,False
kazeroonkings,True,True,True,False
SHAYA9000,True,True,True,False
Tina34832552745,True,False,True,False
shiny_monarchy,True,False,True,False
IRANIAZAD140,True,True,True,False
AlirezaP76612,True,False,True,False
MadScience2099,True,False,True,False
ShiraziShaheen,True,True,True,True
Pirouznaha19831,True,False,True,False
king7851007,True,False,True,False
upuouo,True,True,True,False
PahlaviahoraeeP,True,True,True,True
flexcr7,True,True,True,False
suma01197664932,True,False,True,False
Narxcvi,True,False,True,False
unknownproteste,True,True,True,False
saeid_555555,True,True,True,True
LaydenRobinson,True,False,True,False
Sadie_NC,True,False,True,False
AmbientArthur,True,False,True,False
Mona20211013,True,False,True,False
zall_rosta48131,True,False,True,False
mahraha99,True,False,True,False
GreyWol08482159,True,True,True,False
Nik_Mirbat,True,False,True,False
QuantumFlux36,True,False,True,False
Varparideh1,True,False,True,False
YouSimDotAI,True,False,True,True
rajchx,True,False,True,False
WarRioR0107,True,False,True,False
GuntherEagleman,True,False,True,False
MAGAVoice,True,False,True,False
WIONews,True,False,True,False
M_mhdys,True,False,True,True
FafaMarefat,True,False,True,False
WashTimes,True,False,True,False
shahdadmahr123,True,False,True,False
haniiiissss1387,True,True,True,False
fani301611661,True,False,True,False
shekast57tt,True,False,True,False
faanooos8,True,False,True,False
Nezha_9515,True,True,True,False
Arthr1678,True,False,True,False
KiMo10626877,True,True,True,False
Mallys58560164,True,False,True,False
MahSaghi232323,True,False,True,False
DibaPanah,True,False,True,False
SprinterObserve,True,False,True,False
RezaRez11109331,True,True,True,False
UPPRD1948,True,False,True,False
Banuyetehrani,True,True,True,False
DimaMezon13570,True,False,True,False
shaahhdost2,True,False,True,False
elaheshake60650,True,False,True,True
charterererer,True,False,True,False
arjangdiv1,True,False,True,False
pahlavikhah43,True,True,True,False
mohammadd4456,True,True,True,False
ScarFace2582,True,False,True,False
Edelwei17723905,True,False,True,True
arman717366,True,False,True,False
fariborz3164,True,False,True,False
OcrazioCornPop,True,False,True,False
Katierebel2nd,True,True,True,False
arashpakzad13,True,False,True,False
ZifiriElif,True,False,True,False
saramobarez1,True,True,True,False
Fr33domSeek3r,True,False,True,False
SonDemirLeydim,True,False,True,False
Iran21368218,True,False,True,False
razrad1395,True,False,True,True
mostafaa2024,True,True,True,False
Omidirniazad,True,False,True,False
fuxy_twite,True,True,True,False
hichopochh,True,False,True,False
bahmanxxx,True,False,True,False
Utbde_,True,False,True,False
MohammadSaam_M,True,True,True,False
Springforall,True,False,True,True
Esep65,True,False,True,False
Bahar_e_Azadi,True,True,True,False
Hoorieh81,True,True,True,True
roohkhaste,True,False,True,False
Farbodahmadi880,True,True,True,True
ArteshAriamehr,True,True,True,False
FinchyUnplugged,True,False,True,True
MaryamS70339240,True,False,True,False
MrsadQ23976,True,False,True,False
MaaYa_N00R,True,False,True,False
rda_mhmd32862,True,False,True,False
AlHadath,True,False,True,False
angelvibes2024,True,False,True,False
nahidsh527641,True,False,True,False
shari32521943,True,False,True,False
Aryamehr22,True,False,True,False
k67451,True,False,True,True
Dark_nighting_m,True,False,True,False
MahtabH12025,True,False,True,False
SediKh36,True,False,True,False
the_leoleeny,True,True,True,False
SarneveshtRenew,True,False,True,False
ggehhry2,True,True,True,True
ahmad17496011,True,False,True,False
ihavenoideaid,True,False,True,False
DehkordiAzar,True,False,True,True
TaranehRaki,True,False,True,False
Pahlavist2582,True,True,True,False
SkyNews,True,False,True,False
TrashPandaTv,True,False,True,False
siaayrom,True,True,True,False
faripat177,True,False,True,False
BelendLaura,True,False,True,False
ankit2290537665,True,False,True,False
siavash_sepehr0,True,True,True,True
Anna_lena2022,True,False,True,False
cheeiizz,True,False,True,False
IRAN42242621455,True,False,True,False
TRUMP_ARMY_,True,False,True,False
Freedom202219,True,False,True,False
rahar9075,True,True,True,False
laburnum1000,True,False,True,True
FreeIran_2019,True,False,True,True
pirozzzzzzzzz,True,True,True,False
farahsahdost65,True,False,True,False
PadeshahPahlavi,True,False,True,False
mrp42227,True,False,True,False
MitraIrani369,True,False,True,True
Azadii3326,True,False,True,False
NaraJokar,True,False,True,False
FaranakAzad1,True,True,True,False
Telegraph,True,False,True,False
undertaker1369,True,False,True,False
mrhosein00,True,True,True,False
Menelik90,True,False,True,False
FreeIran_ForUs,True,False,True,False
Hihihi866415951,True,False,True,False
Brad_S_M,True,False,True,False
rasookosh,True,False,True,False
Mh_sabihi184,True,False,True,False
Kourosh77335174,True,False,True,False
SalgardMahsa1,True,False,True,True
RiyazatMohamad,True,False,True,False
kann_news,True,False,True,False
zeldalevine2022,True,False,True,True
Sim148941162185,True,False,True,False
HirAn_irani,True,True,True,False
FoxNews,True,False,True,False
JShahemon91471,True,False,True,False
diidebann,True,False,True,False
Lilibahari90,True,False,True,False
Rakesh76634503,True,False,True,False
ManNight2001,True,False,True,True
Roya432,True,False,True,False
blindassassin06,True,False,True,False
Afshar_2023,True,False,True,False
Meshkatt_Iranl,True,False,True,False
Pahlavist091339,True,False,True,True
spacecardealers,True,False,True,False
pahlavismcom,True,False,True,False
mohsen1401wine,True,False,True,False
marschild171,True,False,True,False
seda19906994,True,False,True,False
sootsolh,True,False,True,False
adelirani04833,True,False,True,False
RoyaBDream,True,False,True,False
MehrdadShahii,True,False,True,False
avaavaavin,True,False,True,False
hzhar9686923,True,False,True,False
IRANalwaysIRAN,True,False,True,False
JavidShah0000,True,True,True,False
ulzanaSwar,True,False,True,False
sokkkkoott,True,False,True,False
RadfarZari,True,False,True,False
hashemasa,True,True,True,True
MPLRQ1,True,False,True,False
1193634420000993280,True,False,True,False
nazaninshki,True,False,True,True
OYourNameHereO,True,False,True,False
faryadazadi59,True,False,True,True
SalgardMahsa5,True,False,True,False
Fourour5555,True,False,True,False
ForadiMohammad,True,True,True,False
Farid1242040519,True,False,True,False
lori5297,True,False,True,False
rahimy166,True,True,True,False
yekrozkhobe,True,False,True,False
simin223316966,True,True,True,False
ChakavakMan,True,False,True,False
fatemah_heidari,True,False,True,False
sdghmrz,True,False,True,False
shhrzdzP2020,True,False,True,False
WWF,True,False,True,False
andrew615066,True,False,True,False
CherylWroteIt,True,False,True,False
MOperaPhantom,True,True,True,False
BBCNews,True,False,True,False
BinnatRauf,True,False,True,False
manijeh_rabiei,True,False,True,False
56HEXis1wDSx7vo,True,False,True,False
MMhmdy797,True,False,True,False
Asayesh176,True,False,True,True
6njeli,True,True,True,False
Sho_Ber_5,True,True,True,False
Islam_is_f_word,True,False,True,False
Reddington_LA,True,True,True,True
TahsinZhaleh,True,True,True,True
Mehr64208049,True,False,True,False
SushyanPahlavi,True,True,True,True
IranIntl,True,True,True,True
Pegahan___,True,False,True,False
neptunegalaxy21,True,True,True,False
ATA_2500,True,False,True,False
GonarRad50381,True,False,True,False
stillgray,True,False,True,False
_FirstIran,True,False,True,False
corrrdeliiiaaa,True,True,True,False
ElmiraHossein12,True,False,True,False
bardi1980,True,True,True,False
soosan1333,True,False,True,False
yYh8x5hC6nxh1Wd,True,True,True,True
mahsa_300,True,True,True,False
NasehMohi,True,True,True,False
HastiGh4,True,True,True,True
Morad_Irani,True,False,True,False
Firedragon243,True,False,True,False
virgoasare,True,False,True,False
YasiPatriot,True,True,True,True
MbaZohreh,True,False,True,False
formanovski,True,False,True,True
hardseltzerr,True,True,True,False
Anahita_godess,True,False,True,False
Irandokht25839,True,False,True,False
mikehastamaziz,True,False,True,False
Alic98210073,True,False,True,False
Arthor65575236,True,False,True,True
indypersian,True,True,True,True
MamanBozork,True,False,True,False
Siyavash_shooo,True,False,True,False
watrzm200414,True,False,True,False
BarfiiIran,True,True,True,True
GatineauPatrick,True,False,True,False
BearVAK,True,False,True,False
RoniieG20470,True,False,True,True
2pi21,True,False,True,False
AJMougin,True,False,True,True
Marie36822764,True,True,True,False
IranaHarrison,True,False,True,False
leonam_2,True,False,True,False
CTVNews,True,False,True,False
Limbo_frdom,True,False,True,False
AxtarmasC,True,False,True,False
BamdadPirouzi,True,True,True,False
ShahinMajelan,True,True,True,False
frank_1929,True,True,True,False
newday2526,True,False,True,False
hightesla,True,True,True,False
Sepideh52191550,True,True,True,False
i_shezem,True,False,True,False
EbneHava,True,True,True,True
SaraZ5015,True,False,True,False
YourTeepicalguy,True,False,True,False
shaporyekom,True,False,True,False
Benevis1402,True,False,True,False
j_srbaz,True,False,True,False
MehDi4856,True,False,True,False
am5390095571839,True,False,True,False
Mqaj72,True,False,True,False
Kian_from_Iran,True,False,True,False
Jerusalem_Post,True,False,True,False
Sabadrangi,True,False,True,False
Iran57sos,True,False,True,False
AzadehKhorasan,True,True,True,True
AJABreaking,True,False,True,False
iironee1,True,False,True,False
EpicurStarts,True,False,True,False
M__binesh_00,True,False,True,False
california123AA,True,True,True,False
Tara05397483,True,False,True,False
CyrusGreatSon,True,True,True,False
kamali_mas60691,True,False,True,False
IspahbadhSina,True,False,True,False
TammNews,True,False,True,False
KarimSnowman,True,True,True,False
Nastaran9638495,True,True,True,True
Mino1554447,True,False,True,True
darkblueahmad,True,False,True,False
ArashKaamangir,True,False,True,False
apostrophe___S_,True,False,True,False
VivaFreeIran22,True,False,True,False
Banuirani84,True,True,True,False
KhTayebeh50043,True,False,True,False
ChildrenFlagIs,True,False,True,True
sattarkhan121,True,True,True,True
AfiFlysky,True,False,True,False
mn_shah83271,True,False,True,False
Bardia_izadmehr,True,False,True,False
alkar1899342,True,False,True,True
gildvark,True,False,True,False
golfammmmmm,True,False,True,False
Ffarhad7412,True,True,True,False
aghachurchill,True,True,True,False
Tajabi4,True,False,True,False
Haalifax,True,False,True,False
dashalivafaei,True,False,True,False
AsharqNews,True,False,True,False
Break4Bad,True,False,True,False
ahmadrezaei404,True,False,True,False
MashinMonee,True,True,True,False
_HellBoy___,True,False,True,False
Sadaf__12,True,True,True,True
ahora_jadid,True,False,True,False
GanaciLalapo,True,False,True,False
sheykhbabar2,True,True,True,False
NedaBahar2,True,False,True,False
A94132868103641,True,False,True,False
NasimBara,True,False,True,False
artndesign823,True,False,True,False
nik4076,True,False,True,False
Loocoomootive,True,False,True,True
Pedar_Bozorgggg,True,True,True,False
Peroz401939762,True,True,True,False
minoobanoo9,True,False,True,False
nyili_i,True,False,True,False
koroshkabirj,True,False,True,False
rwn97165123,True,False,True,False
